u,e,a_p,predictions,labels
-0.73307705,-0.44103625,-0.42267156,1,1
0.7863538,1.2230683999999998,-0.0016450653,0,0
-0.94027215,1.2230683999999998,0.9399233,1,1
-0.042426652999999995,-0.89173126,-0.9738334999999999,0,0
-1.4927925,0.52969146,1.4681201000000001,1,1
-0.3186868,0.46035373,0.37345126,1,1
0.026638385,0.52969146,0.5035867,1,1
-1.0784023,0.9457175999999999,1.713081,1,1
-0.18055673,0.9110486999999999,1.6901159,1,1
0.09570342,-0.19835433,0.78682274,1,1
0.09570342,1.535088,-1.0197637,0,0
1.5460693,-0.7530559,0.044285095999999996,1,1
-0.73307705,0.9457175999999999,-0.7059075,0,0
0.64822376,-0.33702973,-0.124125496,1,1
-1.6999876,-0.51037395,-0.9814885,0,1
0.2338335,1.3270749,-1.2647245,0,0
-1.5618575000000001,0.25234067,0.9246131999999999,1,1
1.200744,0.98038644,-0.2083308,0,0
1.4079392,0.9110486999999999,0.3351761,1,1
1.3388741000000002,-1.1344131000000002,0.120835364,1,1
1.062614,0.044327587,-0.52984196,0,0
1.4770041999999999,1.3964126000000001,-0.8054229,0,0
-0.45681688,-1.6891147000000002,1.713081,1,1
-0.24962178,-1.169082,-0.23129588,1,1
-0.38775185,-1.4811016000000001,-0.9738334999999999,0,0
-0.45681688,-0.9264001000000001,-1.2800345,0,0
0.64822376,-1.0997443,0.11318034,1,1
1.131679,-0.718387,-0.13943554,1,1
0.5791586999999999,-0.025010105,-0.25426096,0,0
-0.45681688,0.84171104,-0.9202483,0,0
1.2698091,-1.4811016000000001,-0.836043,1,1
-0.042426652999999995,0.9110486999999999,0.71792746,1,1
1.6151342,-0.40636742,-0.2083308,1,1
0.64822376,0.044327587,-1.5862356000000002,0,0
-0.042426652999999995,0.113665275,-1.6474758000000003,0,1
0.30289856,-1.4811016000000001,0.16676553,1,1
-0.6640119999999999,1.0150553,0.044285095999999996,0,0
-1.4237274,1.1537306,-0.18536570000000002,0,0
-0.8712071,1.535088,-0.36908635,0,0
-1.0093372,-0.19835433,-1.2647245,0,0
-1.0784023,1.1190618,1.2997096000000001,1,1
-0.111491695,-0.78772473,0.27393590000000007,1,1
1.2698091,0.7377045,-0.19302075,0,0
-1.2855973,1.4310813999999998,-0.5681170999999999,0,0
0.5791586999999999,-1.5851082,1.1389539,1,1
-0.8021421,1.2230683999999998,0.2433158,0,0
1.2698091,0.98038644,0.9016481,1,1
-0.18055673,-0.025010105,-1.4637552,0,1
1.5460693,0.21767181,-1.5249954,0,0
-1.0784023,0.9457175999999999,1.4910851999999999,1,1
1.2698091,-0.09434780000000001,-0.79011285,0,0
1.6151342,0.9457175999999999,0.26628090000000004,1,1
0.7863538,-0.33702973,-0.29253608,0,0
-0.24962178,-0.44103625,-1.111624,1,1
-1.6999876,-0.78772473,-0.009300092,1,1
1.5460693,1.084393,-1.1422441,0,0
-1.4237274,-0.44103625,-1.5403055,0,0
0.64822376,0.32167834,1.2461243999999998,1,1
1.131679,1.1190618,-1.3412747,0,0
-0.3186868,-0.5797116,-1.39486,0,0
0.5791586999999999,-0.44103625,-1.6245108,0,0
1.6151342,1.535088,-1.2570695,0,0
0.16476846,0.52969146,0.85571796,1,1
0.85541886,0.7723734,1.0088184999999998,1,1
0.9244839,1.6390945,1.1389539,1,1
0.3719636,-0.78772473,1.4604651000000002,1,1
-0.8021421,0.4950226,0.91695815,1,1
-1.0784023,1.7084322,0.93226826,1,0
-0.94027215,-1.2730886000000001,-1.2953446000000002,1,1
-0.594947,1.084393,0.21269569,1,1
1.6841993000000002,-1.5851082,-0.537497,1,1
0.7863538,-1.619777,1.1083338,1,1
-0.45681688,0.7723734,0.6337222,1,1
0.2338335,0.078996435,-1.6092007,0,0
-1.3546624,-0.9957378,-1.2494143999999998,0,0
0.7863538,0.46035373,1.6594958,1,1
-0.111491695,-1.7237836,-1.6551308999999998,0,0
1.3388741000000002,0.8763799000000001,-1.6934060000000002,0,0
1.131679,-1.6891147000000002,0.76385766,1,1
-0.38775185,-0.64904934,0.5571719,1,1
-0.52588195,-1.6891147000000002,1.2001941,1,1
0.026638385,-0.7530559,1.4757751000000001,1,1
0.7863538,0.5990291,-0.2083308,1,0
0.09570342,1.4310813999999998,0.9093030999999999,1,1
-1.0784023,0.8070421999999999,0.9475783000000001,1,1
-1.4927925,0.39101604,-1.5479604999999999,0,0
-0.3186868,0.9110486999999999,-0.30784616,0,0
1.4770041999999999,-0.51037395,-0.72121763,0,0
-0.24962178,0.9457175999999999,0.028975043,0,0
0.85541886,1.5004191,0.580137,1,1
